,USER_ID,date,call_duration,db_value_mean,db_value_max,db_value_min,lux_value_mean,lux_value_max,lux_value_min,msg_num,pic_num,sleep_duration,step_count,daily_score,weekly_score,label
267,23102013,20231016,,,,,,,,2.0,3.0,,,,,0
268,23102013,20231018,,,,,,,,1.0,2.0,,,,,0
269,23102013,20231019,,,,,,,,6.0,,,,,,0
270,23102014,20230924,,,,,,,,1.0,,,,,,0
271,23102015,20231010,,,,,,,,2.0,,,,,,0
272,23102015,20231012,,,,,,,,1.0,,,,,,0
273,23102015,20231017,,,,,,,,2.0,6.0,,,,,0
274,23102016,20230923,,,,,,,,8.0,,,,,,0
275,23102016,20231015,,,,,,,,1.0,1.0,,,,,0
276,23102016,20231017,,,,,,,,1.0,,,,,,0
277,23102017,20230924,,,,,,,,1.0,,,,,,0
278,23102017,20230926,,,,,,,,1.0,,,,,,0
279,23102017,20231004,,,,,,,,1.0,,,,,,0
280,23102102,20231003,,,,,,,,1.0,,,,,,0
281,23102102,20231005,,,,,,,,1.0,,,,,,0
282,23102102,20231011,,,,,,,,3.0,,,,,,0
283,23102102,20231013,,,,,,,,3.0,,,,,,0
284,23102102,20231017,,,,,,,,1.0,,,,,,0
285,23102104,20230927,,,,,,,,1.0,,,,,,0
286,23102106,20231019,,,,,,,,1.0,9.0,,,,,0
287,23102108,20231004,,,,,,,,2.0,,,,,,0
288,23102108,20231011,,,,,,,,5.0,,,,,,0
289,23102108,20231013,,,,,,,,2.0,,,,,,0
290,23102108,20231018,,,,,,,,1.0,5.0,,,,,0
291,23102201,20230922,,,,,,,,1.0,,,,,,0
292,23102201,20230929,,,,,,,,2.0,,,,,,0
293,23102201,20230930,,,,,,,,1.0,,,,,,0
294,23102201,20231010,,,,,,,,1.0,,,,,,0
295,23102201,20231014,,,,,,,,1.0,,,,,,0
296,23102202,20231019,,,,,,,,10.0,6.0,,,,,0
297,23102203,20231018,,,,,,,,4.0,4.0,,,,,0
298,23102203,20231020,,,,,,,,3.0,6.0,,,,,0
299,23102203,20231021,,,,,,,,1.0,14.0,,,,,0
300,231019278,20230923,,,,,,,,1.0,,,,,,0
301,231019278,20230925,,,,,,,,3.0,,,,,,0
302,231019278,20230926,,,,,,,,2.0,,,,,,0
303,231019278,20231006,,,,,,,,1.0,,,,,,0
304,231019278,20231019,,,,,,,,1.0,6.0,,,,,0
305,4te3900 ,20231016,,,,,,,,1.0,11.0,,,,,0
306,efusilver,20231011,,,,,,,,5.0,3.0,,,,,0
307,efusilver,20231012,,,,,,,,1.0,2.0,,,,,0
308,imamy0627,20230920,,,,,,,,1.0,,,,,,0
309,imamy0627,20230925,,,,,,,,1.0,,,,,,0
310,imamy0627,20230926,,,,,,,,1.0,,,,,,0
311,imamy0627,20231005,,,,,,,,1.0,1.0,,,,,0
312,imamy0627,20231007,,,,,,,,2.0,21.0,,,,,0
313,imamy0627,20231009,,,,,,,,1.0,31.0,,,,,0
314,jiun123,20231010,,,,,,,,2.0,,,,,,0
315,jiun123,20231012,,,,,,,,1.0,,,,,,0
316,jiun123,20231017,,,,,,,,2.0,6.0,,,,,0
317,ymshin,20230914,,,,,,,,1.0,,,,,,0
318,ymshin,20230916,,,,,,,,5.0,,,,,,0
319,ymshin,20231006,,,,,,,,1.0,31.0,,10318.0,,,0
320,ymshin,20231008,,,,,,,,1.0,11.0,,10384.0,,,0
321,ymshin,20231011,,,,,,,,1.0,8.0,,9030.0,,,0
322,ymshin,20231017,,,,,,,,1.0,30.0,,12248.0,,,0
323,23101902,20231012,,,,,,,,,2.0,,,,,0
324,23101902,20231013,,,,,,,,,2.0,,,,,0
325,23101902,20231014,,,,,,,,,4.0,,,,,0
326,23101902,20231015,,,,,,,,,1.0,,,,,0
327,23101902,20231016,,,,,,,,,2.0,,,,,0
328,23101902,20231017,,,,,,,,,1.0,,,,,0
329,23101903,20231013,,,,,,,,,1.0,,,,,0
330,23101903,20231015,,,,,,,,,2.0,,9301.0,,,0
331,23101903,20231018,,,,,,,,,1.0,,634.0,,,0
332,23101904,20231012,,,,,,,,,2.0,,,,,0
333,23101904,20231014,,,,,,,,,396.0,,,,,0
334,23101904,20231015,,,,,,,,,9.0,,,,,0
335,23101904,20231018,,,,,,,,,1.0,,5191.0,,,0
336,23101905,20231012,,,,,,,,,4.0,,,,,0
337,23101905,20231013,,,,,,,,,14.0,,,,,0
338,23101905,20231014,,,,,,,,,26.0,,,,,0
339,23101905,20231015,,,,,,,,,3.0,,,,,0
340,23101905,20231016,,,,,,,,,1.0,,,,,0
341,23101905,20231018,,,,,,,,,3.0,,,,,0
342,23101907,20231012,,,,,,,,,11.0,,,,,0
343,23101907,20231013,,,,,,,,,9.0,,,,,0
344,23101907,20231015,,,,,,,,,13.0,,,,,0
345,23101907,20231016,,,,,,,,,12.0,,,,,0
346,23101907,20231017,,,,,,,,,17.0,,,,,0
347,23101907,20231018,,,,,,,,,2.0,,,,,0
348,23101910,20231012,,,,,,,,,1.0,,,,,2
349,23101910,20231013,,,,,,,,,2.0,,,,,2
350,23101910,20231014,,,,,,,,,3.0,,,,,2
351,23101910,20231015,,,,,,,,,1.0,,,,,2
352,23101910,20231016,,,,,,,,,5.0,,,,,2
353,23101910,20231017,,,,,,,,,2.0,,,,,2
354,23101910,20231018,,,,,,,,,1.0,,,,,2
355,23101910,20231021,,,,,,,,,4.0,419.0,5031.0,,,2
356,23101912,20231012,,,,,,,,,1.0,,,,,1
357,23101912,20231014,,,,,,,,,6.0,,,,,1
358,23101912,20231015,,,,,,,,,10.0,,,,,1
359,23101912,20231016,,,,,,,,,1.0,,,,,1
360,23101912,20231017,,,,,,,,,8.0,,,,,1
361,23101912,20231018,,,,,,,,,13.0,,,,,1
362,23101915,20231014,,,,,,,,,10.0,,,,,0
363,23101915,20231015,,,,,,,,,8.0,,,,,0
364,23101915,20231016,,,,,,,,,3.0,,,,,0
365,23101915,20231017,,,,,,,,,1.0,,,,,0
366,23101915,20231019,,,,,,,,,2.0,,941.0,,,0
367,23101917,20231012,,,,,,,,,3.0,,,,,1
368,23101917,20231018,,,,,,,,,1.0,,,,,1
369,23101918,20231018,,,,,,,,,33.0,,,,,0
370,23101919,20231013,,,,,,,,,5.0,,,,,0
371,23101919,20231014,,,,,,,,,5.0,,,,,0
372,23101919,20231015,,,,,,,,,8.0,,,,,0
373,23101919,20231017,,,,,,,,,5.0,,,,,0
374,23101919,20231018,,,,,,,,,4.0,,,,,0
375,23101920,20231012,,,,,,,,,2.0,,,,,0
376,23101920,20231014,,,,,,,,,5.0,,,,,0
377,23101920,20231015,,,,,,,,,1.0,,,,,0
378,23101920,20231017,,,,,,,,,2.0,,,,,0
379,23101920,20231018,,,,,,,,,2.0,,,,,0
380,23101920,20231020,,,,,,,,,6.0,,,,,0
381,23101921,20231013,,,,,,,,,21.0,,,,,0
382,23101921,20231014,,,,,,,,,11.0,,,,,0
383,23101921,20231018,,,,,,,,,1.0,,,,,0
384,23101921,20231019,,,,,,,,,3.0,,,,,0
385,23101922,20231013,,,,,,,,,1.0,,,,,0
386,23101922,20231014,,,,,,,,,12.0,,,,,0
387,23101922,20231016,,,,,,,,,2.0,,,,,0
388,23101922,20231018,,,,,,,,,1.0,,,,,0
389,23101923,20231013,,,,,,,,,1.0,,,,,0
390,23101923,20231014,,,,,,,,,3.0,,,,,0
391,23101923,20231015,,,,,,,,,2.0,,,,,0
392,23101923,20231016,,,,,,,,,3.0,,,,,0
393,23101923,20231017,,,,,,,,,3.0,,,,,0
394,23101924,20231018,,,,,,,,,2.0,,,,,0
395,23101924,20231019,,,,,,,,,1.0,450.0,,,,0
396,23101924,20231021,,,,,,,,,2.0,1213.0,1994.0,,,0
397,23101927,20231013,,,,,,,,,6.0,,,,,0
398,23101927,20231014,,,,,,,,,4.0,,,,,0
399,23101927,20231015,,,,,,,,,7.0,,,,,0
400,23101927,20231016,,,,,,,,,10.0,,,,,0
401,23101927,20231017,,,,,,,,,12.0,,,,,0
402,23101927,20231018,,,,,,,,,8.0,,,,,0
403,23101927,20231019,,,,,,,,,6.0,440.0,,,,0
404,23101927,20231021,,,,,,,,,2.0,423.0,4719.0,,,0
405,23101929,20231014,,,,,,,,,6.0,,,,,0
